Day,Time,HungryTime,id,Category,With_whom,Enjoyment,Diet,Processing,Mess,Comment
03.02.23,07:30:00,00:00:00,0,breakfast,boyfriend,6,vegan,selfmade,2,
03.02.23,12:15:00,04:45:00,1,lunch,alone,8,vegan,selfmade,4,
03.02.23,12:25:00,00:10:00,2,snack,alone,7,vegetarian,Ready-made,1,
03.02.23,16:35:00,04:10:00,3,snack,boyfriend,7,vegan,selfmade_other,1,
03.02.23,18:05:00,01:30:00,4,snack,boyfriend,7,vegan,selfmade,1,
03.02.23,22:26:00,04:21:00,5,dinner,friends,8,vegetarian,restaurant,1,
04.02.32,09:49:00,11:23:00,6,breakfast,boyfriend,7,vegan,selfmade,1,
04.02.32,13:22:00,03:33:00,7,lunch,boyfriend,7,vegan,leftovers,1,
04.02.32,16:05:00,02:43:00,8,snack,boyfriend,8,vegetarian,Ready-made,1,
04.02.32,18:12:00,02:07:00,9,dinner,boyfriend,8,vegetarian,restaurant,1,
05.02.23,00:09:00,05:57:00,10,snack,boyfriend,7,vegan,Ready-made,1,
05.02.23,10:37:00,10:28:00,11,breakfast,boyfriend,8,vegetarian,selfmade,2,"sunday mornings breakfasts are one of the most favorite meals of my boyfriend and me. We always listen to the same radio show while eating and enjoy fresh rolls, veggies, coffee and so on...This morning was especially good because I went swimming before breakfast and was very awake and very hungry already."
05.02.23,13:30:00,02:53:00,12,snack,alone,7,vegan,leftovers,1,snacked the leftovers of our delicious menu at an indian restaurant the evening before. I hate skipping lunch on weekends and switching from late breakfast to early coffee and cake...that always makes me craving for something filling and salty. So the rice saved my sunday :)
05.02.23,15:15:00,01:45:00,13,snack,family,10,vegetarian,selfmade_other,1,
05.02.23,20:10:00,04:55:00,14,dinner,boyfriend,8,vegan,selfmade,2,strange but delicious burgers...vegan „Schnitzel“ with bread and some veggies
06.02.23,07:45:00,11:35:00,15,breakfast,boyfriend,7,vegetarian,selfmade,1,
06.02.23,13:50:00,06:05:00,16,lunch,colleagues,3,vegetarian,processing,1,"not filling, in a rush, not selfmade….did not like this lunch"
06.02.23,16:30:00,02:40:00,17,snack,alone,6,vegan,selfmade_other,1,"ate the last „Eiseröllchen“, made by my boyfriend. He was not amused but it helped me to survive the afternoon at work after the very small lunchbreak"
06.02.23,18:28:00,01:58:00,18,dinner,boyfriend,7,vegan,selfmade,3,
07.02.23,07:40:00,13:12:00,19,breakfast,boyfriend,6,vegan,selfmade,1,
07.02.23,12:41:00,05:01:00,20,lunch,alone,9,vegan,selfmade,3,
07.02.23,18:37:00,05:56:00,21,dinner,boyfriend,8,vegan,selfmade,2,
08.02.23,07:35:00,12:58:00,22,breakfast,boyfriend,7,vegan,selfmade,1,
08.02.23,10:10:00,02:35:00,23,snack,alone,8,vegan,Ready-made,1,
08.02.23,12:25:00,02:15:00,24,lunch,alone,8,vegan,selfmade,1,
08.02.23,16:55:00,04:30:00,25,snack,alone,8,vegetarian,Ready-made,1,
08.02.23,17:35:00,00:40:00,26,dinner,boyfriend,7,vegan,selfmade,1,
08.02.23,20:25:00,02:50:00,27,snack,alone,7,vegetarian,Ready-made,1,
09.02.23,07:35:00,11:10:00,28,breakfast,friends,8,vegan,selfmade,1,
09.02.23,12:44:00,05:09:00,29,lunch,friends,9,vegan,restaurant,1,
09.02.23,17:25:00,04:41:00,30,snack,boyfriend,8,vegan,Ready-made,1,
09.02.23,19:36:00,02:11:00,31,dinner,boyfriend,10,vegan,selfmade,2,
09.02.23,21:04:00,01:28:00,32,snack,friends,10,vegan,Ready-made,1,
10.02.23,07:47:00,10:43:00,33,breakfast,boyfriend,7,vegan,selfmade,1,
10.02.23,12:33:00,04:46:00,34,lunch,alone,8,vegan,selfmade,1,
